index,Month,Parameter,Main-Sector,Sub-Sector,Industry,Value,Upload_Date,rank
246.00,28-02-2023,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,80.55,16-10-2024,1.00
247.00,28-02-2023,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,125.00,16-10-2024,1.00
248.00,28-02-2023,Amount of Issue Size,Others,Others,Others,329.50,16-10-2024,1.00
249.00,28-02-2023,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,34.97,16-10-2024,1.00
250.00,31-03-2023,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,55.21,16-10-2024,1.00
251.00,31-03-2023,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,123.81,16-10-2024,1.00
252.00,31-03-2023,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,22.70,16-10-2024,1.00
253.00,31-03-2023,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,33.74,16-10-2024,1.00
254.00,31-03-2023,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,86.61,16-10-2024,1.00
255.00,31-03-2023,Amount of Issue Size,Others,Others,Others,"2,742.99",16-10-2024,1.00
256.00,30-04-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,41.13,16-10-2024,1.00
257.00,30-04-2023,Amount of Issue Size,Financial Services,Financial Services,Capital Markets,804.05,16-10-2024,1.00
258.00,30-04-2023,Amount of Issue Size,Industrials,Construction,Construction,66.00,16-10-2024,1.00
259.00,30-04-2023,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,865.00,16-10-2024,1.00
260.00,30-04-2023,Amount of Issue Size,Financial Services,Financial Services,Financial Technology (Fintech),49.97,16-10-2024,1.00
261.00,30-04-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Services,5.15,16-10-2024,1.00
262.00,30-04-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,49.16,16-10-2024,1.00
263.00,30-04-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,21.12,16-10-2024,1.00
264.00,30-04-2023,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,58.61,16-10-2024,1.00
265.00,30-04-2023,Amount of Issue Size,Utilities,Power,Power,21.11,16-10-2024,1.00
266.00,31-05-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,48.94,16-10-2024,1.00
267.00,31-05-2023,Amount of Issue Size,Industrials,Construction,Construction,99.76,16-10-2024,1.00
268.00,31-05-2023,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,118.59,16-10-2024,1.00
269.00,31-05-2023,Amount of Issue Size,Financial Services,Financial Services,Finance,"2,533.72",16-10-2024,1.00
270.00,31-05-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Software,9.33,16-10-2024,1.00
271.00,31-05-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,67.99,16-10-2024,1.00
272.00,31-05-2023,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Media,21.17,16-10-2024,1.00
273.00,31-05-2023,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,"4,374.04",16-10-2024,1.00
274.00,30-06-2023,Amount of Issue Size,Industrials,Capital Goods,Aerospace & Defense,85.80,16-10-2024,1.00
275.00,30-06-2023,Amount of Issue Size,Services,Services,Commercial Services & Supplies,145.68,16-10-2024,1.00
276.00,30-06-2023,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,624.82,16-10-2024,1.00
277.00,30-06-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,72.37,16-10-2024,1.00
278.00,30-06-2023,Amount of Issue Size,Healthcare,Healthcare,Healthcare Equipment & Supplies,78.91,16-10-2024,1.00
279.00,30-06-2023,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,38.40,16-10-2024,1.00
280.00,30-06-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Services,32.73,16-10-2024,1.00
281.00,30-06-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,55.23,16-10-2024,1.00
282.00,30-06-2023,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Media,41.80,16-10-2024,1.00
283.00,30-06-2023,Amount of Issue Size,Utilities,Utilities,Other Utilities,11.42,16-10-2024,1.00
284.00,30-06-2023,Amount of Issue Size,Others,Others,Others,57.21,16-10-2024,1.00
285.00,30-06-2023,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,49.09,16-10-2024,1.00
286.00,30-06-2023,Amount of Issue Size,Consumer Discretionary,Realty,Realty,58.92,16-10-2024,1.00
287.00,30-06-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Retailing,149.87,16-10-2024,1.00
288.00,30-06-2023,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,18.00,16-10-2024,1.00
289.00,30-06-2023,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,42.21,16-10-2024,1.00
290.00,31-07-2023,Amount of Issue Size,Industrials,Capital Goods,Aerospace & Defense,567.24,16-10-2024,1.00
291.00,31-07-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,49.09,16-10-2024,1.00
292.00,31-07-2023,Amount of Issue Size,Financial Services,Financial Services,Banks,"1,000.00",16-10-2024,1.00
293.00,31-07-2023,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,448.43,16-10-2024,1.00
294.00,31-07-2023,Amount of Issue Size,Services,Services,Commercial Services & Supplies,137.83,16-10-2024,1.00
295.00,31-07-2023,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,524.95,16-10-2024,1.00
296.00,31-07-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,960.00,16-10-2024,1.00
297.00,31-07-2023,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,26.94,16-10-2024,1.00
298.00,31-07-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Hardware,631.00,16-10-2024,1.00
299.00,31-07-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Services,100.77,16-10-2024,1.00
300.00,31-07-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Software,5.69,16-10-2024,1.00
301.00,31-07-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Manufacturing,605.23,16-10-2024,1.00
302.00,31-07-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,157.70,16-10-2024,1.00
303.00,31-07-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,44.20,16-10-2024,1.00
304.00,31-07-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Retailing,26.59,16-10-2024,1.00
305.00,31-07-2023,Amount of Issue Size,Services,Services,Transport Services,81.32,16-10-2024,1.00
306.00,31-08-2023,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,45.52,16-10-2024,1.00
307.00,31-08-2023,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,98.77,16-10-2024,1.00
308.00,31-08-2023,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,114.85,16-10-2024,1.00
309.00,31-08-2023,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,5.48,16-10-2024,1.00
310.00,31-08-2023,Amount of Issue Size,Commodities,Chemicals,Fertilizers & Agrochemicals,26.73,16-10-2024,1.00
311.00,31-08-2023,Amount of Issue Size,Financial Services,Financial Services,Finance,"1,072.19",16-10-2024,1.00
312.00,31-08-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,8.99,16-10-2024,1.00
313.00,31-08-2023,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,710.72,16-10-2024,1.00
314.00,31-08-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Services,49.30,16-10-2024,1.00
315.00,31-08-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Software,44.84,16-10-2024,1.00
316.00,31-08-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,549.19,16-10-2024,1.00
317.00,31-08-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,57.58,16-10-2024,1.00
318.00,31-08-2023,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,"2,627.93",16-10-2024,1.00
319.00,31-08-2023,Amount of Issue Size,Consumer Discretionary,Realty,Realty,46.94,16-10-2024,1.00
320.00,31-08-2023,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,42.72,16-10-2024,1.00
321.00,31-08-2023,Amount of Issue Size,Services,Services,Transport Services,964.94,16-10-2024,1.00
322.00,30-09-2023,Amount of Issue Size,Financial Services,Financial Services,Capital Markets,26.86,16-10-2024,1.00
323.00,30-09-2023,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,9.11,16-10-2024,1.00
324.00,30-09-2023,Amount of Issue Size,Services,Services,Commercial Services & Supplies,16.72,16-10-2024,1.00
325.00,30-09-2023,Amount of Issue Size,Industrials,Construction,Construction,351.86,16-10-2024,1.00
326.00,30-09-2023,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,76.00,16-10-2024,1.00
327.00,30-09-2023,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,502.35,16-10-2024,1.00
328.00,30-09-2023,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,66.35,16-10-2024,1.00
329.00,30-09-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,23.80,16-10-2024,1.00
330.00,30-09-2023,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,925.63,16-10-2024,1.00
331.00,30-09-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Services,563.38,16-10-2024,1.00
332.00,30-09-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Software,27.52,16-10-2024,1.00
333.00,30-09-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,"2,228.52",16-10-2024,1.00
334.00,30-09-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,"2,145.10",16-10-2024,1.00
335.00,30-09-2023,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Media,15.27,16-10-2024,1.00
336.00,30-09-2023,Amount of Issue Size,Utilities,Utilities,Other Utilities,374.05,16-10-2024,1.00
337.00,30-09-2023,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,14.84,16-10-2024,1.00
338.00,30-09-2023,Amount of Issue Size,Utilities,Power,Power,230.00,16-10-2024,1.00
339.00,30-09-2023,Amount of Issue Size,Consumer Discretionary,Realty,Realty,730.00,16-10-2024,1.00
340.00,30-09-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Retailing,"1,201.00",16-10-2024,1.00
341.00,30-09-2023,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,36.55,16-10-2024,1.00
342.00,31-10-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,62.80,16-10-2024,1.00
343.00,31-10-2023,Amount of Issue Size,Services,Services,Commercial Services & Supplies,667.98,16-10-2024,1.00
344.00,31-10-2023,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,540.40,16-10-2024,1.00
345.00,31-10-2023,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,45.16,16-10-2024,1.00
346.00,31-10-2023,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,51.69,16-10-2024,1.00
347.00,31-10-2023,Amount of Issue Size,Financial Services,Financial Services,Finance,49.91,16-10-2024,1.00
348.00,31-10-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,24.98,16-10-2024,1.00
349.00,31-10-2023,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Gas,544.36,16-10-2024,1.00
350.00,31-10-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Hardware,39.93,16-10-2024,1.00
351.00,31-10-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Software,47.03,16-10-2024,1.00
352.00,31-10-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Manufacturing,76.70,16-10-2024,1.00
353.00,31-10-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,143.03,16-10-2024,1.00
354.00,31-10-2023,Amount of Issue Size,Commodities,Construction Materials,Other Construction Materials,49.98,16-10-2024,1.00
355.00,31-10-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,25.92,16-10-2024,1.00
356.00,31-10-2023,Amount of Issue Size,Utilities,Utilities,Other Utilities,50.00,16-10-2024,1.00
357.00,31-10-2023,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,20.24,16-10-2024,1.00
358.00,31-10-2023,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,152.46,16-10-2024,1.00
359.00,31-10-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Retailing,9.56,16-10-2024,1.00
360.00,31-10-2023,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,49.46,16-10-2024,1.00
361.00,31-10-2023,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,33.06,16-10-2024,1.00
362.00,31-10-2023,Amount of Issue Size,Services,Services,Transport Infrastructure,"2,800.00",16-10-2024,1.00
363.00,31-10-2023,Amount of Issue Size,Services,Services,Transport Services,73.47,16-10-2024,1.00
364.00,30-11-2023,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Auto Components,833.91,16-10-2024,1.00
365.00,30-11-2023,Amount of Issue Size,Financial Services,Financial Services,Banks,464.14,16-10-2024,1.00
366.00,30-11-2023,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,51.66,16-10-2024,1.00
367.00,30-11-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,16.07,16-10-2024,1.00
368.00,30-11-2023,Amount of Issue Size,Services,Services,Commercial Services & Supplies,36.29,16-10-2024,1.00
369.00,30-11-2023,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,"1,951.02",16-10-2024,1.00
370.00,30-11-2023,Amount of Issue Size,Financial Services,Financial Services,Finance,"3,242.47",16-10-2024,1.00
371.00,30-11-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,32.88,16-10-2024,1.00
372.00,30-11-2023,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,23.67,16-10-2024,1.00
373.00,30-11-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Services,"3,586.20",16-10-2024,1.00
374.00,30-11-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Software,30.70,16-10-2024,1.00
375.00,30-11-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Manufacturing,84.99,16-10-2024,1.00
376.00,30-11-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,30.79,16-10-2024,1.00
377.00,30-11-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,"1,701.44",16-10-2024,1.00
378.00,30-11-2023,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,500.69,16-10-2024,1.00
379.00,30-11-2023,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,883.01,16-10-2024,1.00
380.00,30-11-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Retailing,31.18,16-10-2024,1.00
381.00,30-11-2023,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,24.75,16-10-2024,1.00
382.00,30-11-2023,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,17.36,16-10-2024,1.00
383.00,31-12-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,23.80,16-10-2024,1.00
384.00,31-12-2023,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,23.04,16-10-2024,1.00
385.00,31-12-2023,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,251.09,16-10-2024,1.00
386.00,31-12-2023,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,867.35,16-10-2024,1.00
387.00,31-12-2023,Amount of Issue Size,Financial Services,Financial Services,Finance,"2,160.00",16-10-2024,1.00
388.00,31-12-2023,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Gas,14.04,16-10-2024,1.00
389.00,31-12-2023,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,"1,793.00",16-10-2024,1.00
390.00,31-12-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Services,12.23,16-10-2024,1.00
391.00,31-12-2023,Amount of Issue Size,Information Technology,Information Technology,IT - Software,43.52,16-10-2024,1.00
392.00,31-12-2023,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,"2,576.93",16-10-2024,1.00
393.00,31-12-2023,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Media,53.41,16-10-2024,1.00
394.00,31-12-2023,Amount of Issue Size,Others,Others,Others,23.30,16-10-2024,1.00
395.00,31-12-2023,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,648.40,16-10-2024,1.00
396.00,31-12-2023,Amount of Issue Size,Consumer Discretionary,Realty,Realty,400.00,16-10-2024,1.00
397.00,31-12-2023,Amount of Issue Size,Consumer Discretionary,Consumer Services,Retailing,560.03,16-10-2024,1.00
398.00,31-12-2023,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,38.12,16-10-2024,1.00
399.00,31-12-2023,Amount of Issue Size,Services,Services,Transport Services,83.52,16-10-2024,1.00
400.00,31-01-2024,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,62.64,16-10-2024,1.00
401.00,31-01-2024,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Auto Components,33.10,16-10-2024,1.00
402.00,31-01-2024,Amount of Issue Size,Financial Services,Financial Services,Capital Markets,45.26,16-10-2024,1.00
403.00,31-01-2024,Amount of Issue Size,Services,Services,Commercial Services & Supplies,29.21,16-10-2024,1.00
404.00,31-01-2024,Amount of Issue Size,Industrials,Construction,Construction,94.52,16-10-2024,1.00
405.00,31-01-2024,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,"1,294.57",16-10-2024,1.00
406.00,31-01-2024,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,55.57,16-10-2024,1.00
407.00,31-01-2024,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,20.26,16-10-2024,1.00
408.00,31-01-2024,Amount of Issue Size,Commodities,Chemicals,Fertilizers & Agrochemicals,143.81,16-10-2024,1.00
409.00,31-01-2024,Amount of Issue Size,Financial Services,Financial Services,Finance,33.41,16-10-2024,1.00
410.00,31-01-2024,Amount of Issue Size,Information Technology,Information Technology,IT - Hardware,12.48,16-10-2024,1.00
411.00,31-01-2024,Amount of Issue Size,Information Technology,Information Technology,IT - Services,9.60,16-10-2024,1.00
412.00,31-01-2024,Amount of Issue Size,Industrials,Capital Goods,Industrial Manufacturing,"1,120.21",16-10-2024,1.00
413.00,31-01-2024,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,29.32,16-10-2024,1.00
414.00,31-01-2024,Amount of Issue Size,Financial Services,Financial Services,Insurance,"1,171.58",16-10-2024,1.00
415.00,31-01-2024,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,60.16,16-10-2024,1.00
416.00,31-01-2024,Amount of Issue Size,Consumer Discretionary,Consumer Services,Retailing,36.60,16-10-2024,1.00
417.00,29-02-2024,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,19.08,16-10-2024,1.00
418.00,29-02-2024,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Auto Components,47.20,16-10-2024,1.00
419.00,29-02-2024,Amount of Issue Size,Financial Services,Financial Services,Banks,"1,093.07",16-10-2024,1.00
420.00,29-02-2024,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,"3,998.58",16-10-2024,1.00
421.00,29-02-2024,Amount of Issue Size,Services,Services,Commercial Services & Supplies,7.00,16-10-2024,1.00
422.00,29-02-2024,Amount of Issue Size,Industrials,Construction,Construction,70.41,16-10-2024,1.00
423.00,29-02-2024,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,42.00,16-10-2024,1.00
424.00,29-02-2024,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,273.70,16-10-2024,1.00
425.00,29-02-2024,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,97.20,16-10-2024,1.00
426.00,29-02-2024,Amount of Issue Size,Financial Services,Financial Services,Finance,"3,693.40",16-10-2024,1.00
427.00,29-02-2024,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,46.10,16-10-2024,1.00
428.00,29-02-2024,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,525.14,16-10-2024,1.00
429.00,29-02-2024,Amount of Issue Size,Information Technology,Information Technology,IT - Hardware,628.22,16-10-2024,1.00
430.00,29-02-2024,Amount of Issue Size,Information Technology,Information Technology,IT - Services,309.29,16-10-2024,1.00
431.00,29-02-2024,Amount of Issue Size,Information Technology,Information Technology,IT - Software,46.08,16-10-2024,1.00
432.00,29-02-2024,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,180.82,16-10-2024,1.00
433.00,29-02-2024,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,"2,720.04",16-10-2024,1.00
434.00,29-02-2024,Amount of Issue Size,Commodities,Metals & Mining,Metals & Minerals Trading,37.53,16-10-2024,1.00
435.00,29-02-2024,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,6.71,16-10-2024,1.00
436.00,29-02-2024,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,40.68,16-10-2024,1.00
437.00,29-02-2024,Amount of Issue Size,Utilities,Power,Power,22.89,16-10-2024,1.00
438.00,29-02-2024,Amount of Issue Size,Consumer Discretionary,Consumer Services,Retailing,"1,620.37",16-10-2024,1.00
439.00,29-02-2024,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,22.49,16-10-2024,1.00
440.00,29-02-2024,Amount of Issue Size,Services,Services,Transport Services,94.68,16-10-2024,1.00
441.00,31-03-2024,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,65.88,16-10-2024,1.00
442.00,31-03-2024,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Automobiles,601.55,16-10-2024,1.00
443.00,31-03-2024,Amount of Issue Size,Financial Services,Financial Services,Capital Markets,38.23,16-10-2024,1.00
444.00,31-03-2024,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,486.51,16-10-2024,1.00
445.00,31-03-2024,Amount of Issue Size,Services,Services,Commercial Services & Supplies,397.17,16-10-2024,1.00
446.00,31-03-2024,Amount of Issue Size,Industrials,Construction,Construction,88.34,16-10-2024,1.00
447.00,31-03-2024,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,32.50,16-10-2024,1.00
448.00,31-03-2024,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,618.50,16-10-2024,1.00
449.00,31-03-2024,Amount of Issue Size,Commodities,Metals & Mining,Ferrous Metals,42.69,16-10-2024,1.00
450.00,31-03-2024,Amount of Issue Size,Financial Services,Financial Services,Finance,41.83,16-10-2024,1.00
451.00,31-03-2024,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,907.68,16-10-2024,1.00
452.00,31-03-2024,Amount of Issue Size,Healthcare,Healthcare,Healthcare Equipment & Supplies,9.86,16-10-2024,1.00
453.00,31-03-2024,Amount of Issue Size,Information Technology,Information Technology,IT - Services,87.36,16-10-2024,1.00
454.00,31-03-2024,Amount of Issue Size,Information Technology,Information Technology,IT - Software,48.00,16-10-2024,1.00
455.00,31-03-2024,Amount of Issue Size,Industrials,Capital Goods,Industrial Manufacturing,99.82,16-10-2024,1.00
456.00,31-03-2024,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,61.94,16-10-2024,1.00
457.00,31-03-2024,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Media,423.56,16-10-2024,1.00
458.00,31-03-2024,Amount of Issue Size,Commodities,Forest Materials,"Paper, Forest & Jute Products",77.48,16-10-2024,1.00
459.00,31-03-2024,Amount of Issue Size,Consumer Discretionary,Realty,Realty,20.40,16-10-2024,1.00
460.00,31-03-2024,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,89.28,16-10-2024,1.00
461.00,31-03-2024,Amount of Issue Size,Services,Services,Transport Services,38.18,16-10-2024,1.00
462.00,30-04-2024,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,76.07,16-10-2024,1.00
463.00,30-04-2024,Amount of Issue Size,Consumer Discretionary,Automobile and Auto Components,Auto Components,53.89,16-10-2024,1.00
464.00,30-04-2024,Amount of Issue Size,Financial Services,Financial Services,Banks,"1,151.00",16-10-2024,1.00
465.00,30-04-2024,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,21.78,16-10-2024,1.00
466.00,30-04-2024,Amount of Issue Size,Services,Services,Commercial Services & Supplies,28.04,16-10-2024,1.00
467.00,30-04-2024,Amount of Issue Size,Industrials,Construction,Construction,565.14,16-10-2024,1.00
468.00,30-04-2024,Amount of Issue Size,Consumer Discretionary,Consumer Durables,Consumer Durables,141.13,16-10-2024,1.00
469.00,30-04-2024,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,14.25,16-10-2024,1.00
470.00,30-04-2024,Amount of Issue Size,Financial Services,Financial Services,Finance,33.13,16-10-2024,1.00
471.00,30-04-2024,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,32.10,16-10-2024,1.00
472.00,30-04-2024,Amount of Issue Size,Information Technology,Information Technology,IT - Software,93.44,16-10-2024,1.00
473.00,30-04-2024,Amount of Issue Size,Industrials,Capital Goods,Industrial Manufacturing,666.32,16-10-2024,1.00
474.00,30-04-2024,Amount of Issue Size,Industrials,Capital Goods,Industrial Products,134.09,16-10-2024,1.00
475.00,30-04-2024,Amount of Issue Size,Consumer Discretionary,Consumer Services,Leisure Services,16.47,16-10-2024,1.00
476.00,30-04-2024,Amount of Issue Size,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,12.60,16-10-2024,1.00
477.00,30-04-2024,Amount of Issue Size,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,12.07,16-10-2024,1.00
478.00,30-04-2024,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,"22,275.00",16-10-2024,1.00
479.00,30-04-2024,Amount of Issue Size,Consumer Discretionary,Textiles,Textiles & Apparels,44.74,16-10-2024,1.00
480.00,30-04-2024,Amount of Issue Size,Services,Services,Transport Services,5.60,16-10-2024,1.00
481.00,30-04-2019,No of Issues,Industrials,Capital Goods,Electrical Equipment,1.00,16-10-2024,1.00
482.00,30-04-2019,No of Issues,Services,Services,Engineering Services,1.00,16-10-2024,1.00
